name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"1943kai","1943 Kai: Midway Kaisen (Japan)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943","1943: The Battle of Midway (Euro)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1943mii","1943: The Battle of Midway Mark II (US)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"1943.cpp"
"1944","1944: The Loop Master (Euro 000620)","2000","Eighting / Raizing (Capcom license)",-,-,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"1945kiii","1945k III (newer, OPCX2 PCB)","2000","Oriental Soft",-,-,-,YES,NO,NO,NO,NO,"1945kiii.cpp",BUONO,RASTER,"270",320,224,VERTICAL,"1945kiii.cpp"
"19xx","19XX: The War Against Destiny (Euro 960104)","1996",Capcom,-,-,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"270",384,224,VERTICAL,"cps2.cpp"
openice,"2 On 2 Open Ice Challenge (rev 1.21)","1995",Midway,-,-,-,YES,NO,NO,NO,NO,midwunit.cpp,BUONO,RASTER,"0",400,254,HORIZONTAL,midwunit.cpp
"2020bb","2020 Super Baseball (set 1)","1991","SNK / Pallas",neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"280zzzap","280-ZZZAP","1976","Dave Nutting Associates / Midway",-,-,-,YES,NO,NO,NO,NO,"mw8080bw.cpp",BUONO,RASTER,"0",260,224,HORIZONTAL,"mw8080bw.cpp"
"3countb","3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)","1993",SNK,neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"3on3dunk","3 On 3 Dunk Madness (US, prototype? 1997/02/04)","1996","Video System Co.",-,-,-,YES,NO,NO,NO,NO,inufuku.cpp,INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,inufuku.cpp
"bowl3d","3-D Bowling","1978","Meadows Games, Inc.",-,-,"bowl3d",YES,NO,NO,NO,NO,meadows.cpp,PRELIMINARE,RASTER,"90",256,224,VERTICAL,meadows.cpp
"39in1","39 in 1 MAME bootleg (GNO-V000)","2004",bootleg,-,-,-,YES,NO,NO,NO,NO,"39in1.cpp",INCOMPLETO,RASTER,"90",296,480,VERTICAL,"39in1.cpp"
"3x3puzzl","3X3 Puzzle (Enterprise)","1998","Ace Enterprise",-,-,-,YES,NO,NO,NO,NO,"3x3puzzl.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"3x3puzzl.cpp"
"4enraya","4 En Raya (set 1)","1990",IDSA,-,-,-,YES,NO,NO,NO,NO,"4enraya.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"4enraya.cpp"
"4in1","4 Fun in 1","1981","Armenia / Food and Fun",-,-,-,YES,NO,NO,NO,NO,galaxold.cpp,INCOMPLETO,RASTER,"90",256,224,VERTICAL,galaxold.cpp
"4dwarrio","4-D Warriors (315-5162)","1985","Coreland / Sega",-,-,-,YES,NO,NO,NO,NO,"system1.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"system1.cpp"
"500gp","500 GP (US, 5GP3 Ver. C)","1998",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos23.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"namcos23.cpp"
"64street","64th. Street - A Detective Story (World)","1991",Jaleco,-,-,-,YES,NO,NO,NO,NO,"megasys1.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"megasys1.cpp"
"720","720 Degrees (rev 4)","1986","Atari Games",-,-,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"0",512,384,HORIZONTAL,"atarisy2.cpp"
"9ballsht","9-Ball Shootout (set 1)","1993","E-Scape EnterMedia (Bundra license)",-,-,-,YES,NO,NO,NO,NO,coolpool.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,coolpool.cpp
mag_day,"A Day In Space (31/03/87)","1987","EFO SA / Cedar",cedmag,-,-,YES,NO,NO,NO,NO,cedar_magnet.cpp,INCOMPLETO,RASTER,"90",248,192,VERTICAL,cedar_magnet.cpp
"ad2083","A. D. 2083","1983",Midcoin,-,-,-,YES,NO,NO,NO,NO,scramble.cpp,INCOMPLETO,RASTER,"90",256,224,VERTICAL,scramble.cpp
abcop,"A.B. Cop (World) (FD1094 317-0169b)","1990",Sega,-,-,-,YES,NO,NO,NO,NO,segaxbd.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,segaxbd.cpp
ar_argh,"Aaargh (Arcadia)","1988","Arcadia Systems",ar_bios,-,-,YES,NO,NO,NO,NO,arsystems.cpp,BUONO,RASTER,"0",724,483,HORIZONTAL,arsystems.cpp
ace,Ace,"1976","Allied Leisure",-,-,-,YES,NO,NO,NO,NO,ace.cpp,PRELIMINARE,RASTER,"0",224,240,HORIZONTAL,ace.cpp
aceattac,"Ace Attacker (FD1094 317-0059)","1988",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"270",320,224,VERTICAL,"segas16b.cpp"
acedrvrw,"Ace Driver: Racing Evolution (Rev. AD2, World)","1994",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
victlapw,"Ace Driver: Victory Lap (Rev. ADV2, World)","1996",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
acrobatm,"Acrobat Mission","1991","UPL (Taito license)",-,-,-,YES,NO,NO,NO,NO,"nmk16.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"nmk16.cpp"
dogfgt,"Acrobatic Dog-Fight","1984","Technos Japan",-,-,-,YES,NO,NO,NO,NO,dogfgt.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,dogfgt.cpp
nss_actr,"Act Raiser (Nintendo Super System)","1992",Enix,nss,-,-,YES,NO,NO,NO,NO,nss.cpp,PRELIMINARE,RASTER,"0",288,216,HORIZONTAL,nss.cpp
actfancr,"Act-Fancer Cybernetick Hyper Weapon (World revision 3)","1989","Data East Corporation",-,-,-,YES,NO,NO,NO,NO,actfancr.cpp,INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,actfancr.cpp
afighter,"Action Fighter (FD1089A 317-0018)","1986",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16a.cpp",BUONO,RASTER,"270",320,224,VERTICAL,"segas16a.cpp"
actionhw,"Action Hollywood","1995",TCH,-,-,-,YES,NO,NO,NO,NO,kickgoal.cpp,INCOMPLETO,RASTER,"0",352,240,HORIZONTAL,kickgoal.cpp
aerofgt,"Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)","1992","Video System Co.",-,-,-,YES,NO,NO,NO,NO,aerofgt.cpp,BUONO,RASTER,"270",320,224,VERTICAL,aerofgt.cpp
"sonicwi2","Aero Fighters 2 / Sonic Wings 2","1994","Video System Co.",neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"sonicwi3","Aero Fighters 3 / Sonic Wings 3","1995","Video System Co.",neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
aerofgts,"Aero Fighters Special (Taiwan)","1996","Video System Co.","coh1002v",-,-,YES,NO,NO,NO,NO,zn.cpp,INCOMPLETO,RASTER,"270",640,480,VERTICAL,zn.cpp
mt_aftrb,"After Burner (Mega-Tech, SMS based)","1987",Sega,megatech,-,-,YES,NO,NO,NO,NO,megatech.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megatech.cpp
"aburner2","After Burner II","1987",Sega,-,-,-,YES,NO,NO,NO,NO,segaxbd.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,segaxbd.cpp
aoh,"Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)","2001",Unico,-,-,-,YES,NO,NO,NO,NO,vamphalf.cpp,BUONO,RASTER,"0",384,224,HORIZONTAL,vamphalf.cpp
superbon,"Agent Super Bond (Super Cobra conversion)","1985","Signatron USA",-,-,-,YES,NO,NO,NO,NO,galaxian.cpp,PRELIMINARE,RASTER,"90",768,224,VERTICAL,galaxian.cpp
aodk,"Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)","1994","ADK / SNK",neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
agress,"Agress - Missile Daisenryaku (Japan)","1991",Palco,-,-,-,YES,NO,NO,NO,NO,blockout.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,blockout.cpp
koshien,"Ah Eikou no Koshien (Japan)","1990","Taito Corporation",-,-,-,YES,NO,NO,NO,NO,"taito_f2.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"taito_f2.cpp"
airass,"Air Assault (World)","1993",Irem,-,-,-,YES,NO,NO,NO,NO,"m107.cpp",BUONO,RASTER,"270",320,240,VERTICAL,"m107.cpp"
airattck,"Air Attack (set 1)","1996",Comad,-,-,-,YES,NO,NO,NO,NO,"nmk16.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"nmk16.cpp"
airbustr,"Air Buster: Trouble Specialty Raid Unit (World)","1990","Kaneko (Namco license)",-,-,-,YES,NO,NO,NO,NO,airbustr.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,airbustr.cpp
aircomb,"Air Combat (AC2, US)","1992",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos21_c67.cpp",PRELIMINARE,RASTER,"0",496,480,HORIZONTAL,"namcos21_c67.cpp"
"airco22b","Air Combat 22 (Rev. ACS1 Ver.B, Japan)","1995",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
airduel,"Air Duel (World, M82 hardware)","1990",Irem,-,-,-,YES,NO,NO,NO,NO,"m72.cpp",BUONO,RASTER,"270",384,256,VERTICAL,"m72.cpp"
agallet,"Air Gallet (Europe)","1996","Gazelle (Banpresto license)",-,-,-,YES,NO,NO,NO,NO,cave.cpp,BUONO,RASTER,"270",320,240,VERTICAL,cave.cpp
ainferno,"Air Inferno (US)","1990","Taito America Corporation",-,-,-,YES,NO,NO,NO,NO,taitoair.cpp,PRELIMINARE,RASTER,"0",512,400,HORIZONTAL,taitoair.cpp
airrace,"Air Race (prototype)","1985","Atari Games",-,-,-,YES,NO,NO,NO,NO,"atarisy4.cpp",INCOMPLETO,RASTER,"0",512,384,HORIZONTAL,"atarisy4.cpp"
airraid,"Air Raid (Single PCB)","1987","Seibu Kaihatsu",-,-,-,YES,NO,NO,NO,NO,airraid.cpp,PRELIMINARE,RASTER,"270",256,224,VERTICAL,airraid.cpp
arescue,"Air Rescue (World)","1992",Sega,-,-,-,YES,NO,NO,NO,NO,"segas32.cpp",INCOMPLETO,RASTER,"0",416,224,HORIZONTAL,"segas32.cpp"
airtrix,"Air Trix (Rev A)","2000",Sega,hikaru,-,-,YES,NO,NO,NO,NO,hikaru.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,hikaru.cpp
airwlkrs,"Air Walkers","1997","Data East",-,-,-,YES,NO,NO,NO,NO,"model2.cpp",PRELIMINARE,RASTER,"0",496,384,HORIZONTAL,"model2.cpp"
alpilotj,"Airline Pilots (Japan, Rev A)","1999",Sega,naomi,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
alpilot,"Airline Pilots (World, Rev B)","1999",Sega,airlbios,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
airwolf,Airwolf,"1987",Kyugo,-,-,-,YES,NO,NO,NO,NO,kyugo.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,kyugo.cpp
ajax,Ajax,"1987",Konami,-,-,-,YES,NO,NO,NO,NO,ajax.cpp,BUONO,RASTER,"90",304,224,VERTICAL,ajax.cpp
akatana,"Akai Katana (2010/ 8/13 MASTER VER.)","2010","Cave (AMI license)",-,-,-,YES,NO,NO,NO,NO,"cv1k.cpp",INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,"cv1k.cpp"
ausfache,"Akatsuki Blitzkampf Ausf. Achse (Japan)","2008","Subtle Style",naomi,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
akkaarrh,"Akka Arrh (prototype)","1982",Atari,-,-,-,YES,NO,NO,NO,NO,akkaarrh.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,akkaarrh.cpp
aladmdb,"Aladdin (bootleg of Japanese Megadrive version)","1993","bootleg / Sega",-,-,-,YES,NO,NO,NO,NO,megadriv_acbl.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,megadriv_acbl.cpp
alcon,"Alcon (US)","1986","Toaplan / Taito America Corp.",-,-,-,YES,NO,NO,NO,NO,slapfght.cpp,BUONO,RASTER,"270",280,240,VERTICAL,slapfght.cpp
alexkidd,"Alex Kidd: The Lost Stars (set 2, unprotected)","1986",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16a.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16a.cpp"
alibaba,"Ali Baba and 40 Thieves","1982",Sega,-,-,-,YES,NO,NO,NO,NO,pacman.cpp,PRELIMINARE,RASTER,"90",288,224,VERTICAL,pacman.cpp
alienar,"Alien Arena","1985","Duncan Brown",-,-,-,YES,NO,NO,NO,NO,williams.cpp,BUONO,RASTER,"0",292,240,HORIZONTAL,williams.cpp
aliencha,"Alien Challenge (World)","1994",IGS,-,-,-,YES,NO,NO,NO,NO,lordgun.cpp,BUONO,RASTER,"0",448,224,HORIZONTAL,lordgun.cpp
aliencr,"Alien Crush (United Amusements PC Engine)","1989","Hudson Soft",-,-,-,YES,NO,NO,NO,NO,uapce.cpp,INCOMPLETO,RASTER,"0",1088,242,HORIZONTAL,uapce.cpp
alienfnt,"Alien Front (Rev T)","2001",Sega,naomi,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,naomi.cpp
alinvade,"Alien Invaders","198?",Forbes?,-,-,-,YES,NO,NO,NO,NO,alinvade.cpp,PRELIMINARE,RASTER,"90",128,128,VERTICAL,alinvade.cpp
aliensec,"Alien Sector","1985",Namco,-,-,-,YES,NO,NO,NO,NO,baraduke.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,baraduke.cpp
mt_astrm,"Alien Storm (Mega-Tech)","1990",Sega,megatech,-,-,YES,NO,NO,NO,NO,megatech.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megatech.cpp
astorm,"Alien Storm (World, 2 Players) (FD1094 317-0154)","1990",Sega,-,-,-,YES,NO,NO,NO,NO,"segas18.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas18.cpp"
mt_asyn,"Alien Syndrome (Mega-Tech, SMS based)","1987",Sega,megatech,-,-,YES,NO,NO,NO,NO,megatech.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megatech.cpp
aliensyn,"Alien Syndrome (set 4, System 16B, unprotected)","1987",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
avsp,"Alien vs. Predator (Euro 940520)","1994",Capcom,-,-,-,YES,NO,NO,NO,NO,"cps2.cpp",BUONO,RASTER,"0",384,224,HORIZONTAL,"cps2.cpp"
"alien3","Alien3: The Gun (World)","1993",Sega,-,-,-,YES,NO,NO,NO,NO,"segas32.cpp",INCOMPLETO,RASTER,"0",416,224,HORIZONTAL,"segas32.cpp"
aliens,"Aliens (World set 1)","1990",Konami,-,-,-,YES,NO,NO,NO,NO,aliens.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,aliens.cpp
aafb,"All American Football (rev E)","1989","Leland Corporation",-,-,-,YES,NO,NO,NO,NO,leland.cpp,BUONO,RASTER,"270",320,240,VERTICAL,leland.cpp
alleymas,"Alley Master","1986",Cinematronics,-,-,-,YES,NO,NO,NO,NO,leland.cpp,BUONO,RASTER,"270",320,240,VERTICAL,leland.cpp
aligator,"Alligator Hunt (World, protected)","1994",Gaelco,-,-,-,YES,NO,NO,NO,NO,"gaelco2.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"gaelco2.cpp"
alphaho,"Alpha Fighter / Head On","19??","Data East Corporation",-,-,-,YES,NO,NO,NO,NO,vicdual.cpp,PRELIMINARE,RASTER,"270",256,224,VERTICAL,vicdual.cpp
"alpham2","Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007)","1991",SNK,neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
"alpha1v","Alpha One (Vision Electronics)","1988","Vision Electronics",-,-,-,YES,NO,NO,NO,NO,"m52.cpp",BUONO,RASTER,"0",240,256,HORIZONTAL,"m52.cpp"
alpinerd,"Alpine Racer (Rev. AR2 Ver.D, World)","1994",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
"alpinr2b","Alpine Racer 2 (Rev. ARS2 Ver.B, World)","1996",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
alpine,"Alpine Ski (set 1)","1982","Taito Corporation",-,-,-,YES,NO,NO,NO,NO,taitosj.cpp,BUONO,RASTER,"270",256,224,VERTICAL,taitosj.cpp
alpinesa,"Alpine Surfer (Rev. AF2 Ver.A, World)","1996",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
altair,Altair,"1981",Cidelsa,-,-,-,YES,NO,NO,NO,NO,cidelsa.cpp,INCOMPLETO,RASTER,"90",294,294,VERTICAL,cidelsa.cpp
mt_beast,"Altered Beast (Mega-Tech)","1988",Sega,megatech,-,-,YES,NO,NO,NO,NO,megatech.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,megatech.cpp
altbeast,"Altered Beast (set 8) (8751 317-0078)","1988",Sega,-,-,-,YES,NO,NO,NO,NO,"segas16b.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"segas16b.cpp"
maze,"Amazing Maze","1976",Midway,-,-,-,YES,NO,NO,NO,NO,"mw8080bw.cpp",BUONO,RASTER,"0",260,224,HORIZONTAL,"mw8080bw.cpp"
ambush,Ambush,"1983",Tecfri,-,-,-,YES,NO,NO,NO,NO,ambush.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,ambush.cpp
horshoes,"American Horseshoes (US)","1990","Taito America Corporation",-,-,-,YES,NO,NO,NO,NO,taito_l.cpp,BUONO,RASTER,"270",320,224,VERTICAL,taito_l.cpp
amspdwy,"American Speedway (set 1)","1987","Enerdyne Technologies Inc.",-,-,-,YES,NO,NO,NO,NO,amspdwy.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,amspdwy.cpp
amerdart,"AmeriDarts (set 1)","1989",Ameri,-,-,-,YES,NO,NO,NO,NO,coolpool.cpp,BUONO,RASTER,"0",322,241,HORIZONTAL,coolpool.cpp
amidar,Amidar,"1982",Konami,-,-,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
androdun,"Andro Dunos (NGM-049 ~ NGH-049)","1992",Visco,neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
androidp,"Android (prototype, later build)","1987",Nasco,-,-,-,YES,NO,NO,NO,NO,himesiki.cpp,BUONO,RASTER,"90",256,192,VERTICAL,himesiki.cpp
andromed,"Andromeda SS (Japan?)","1980",Irem,-,-,ipminvad,YES,NO,NO,NO,NO,"m10.cpp",PRELIMINARE,RASTER,"270",240,224,VERTICAL,"m10.cpp"
angelkds,"Angel Kids (Japan)","1988","Sega / Nasco?",-,-,-,YES,NO,NO,NO,NO,angelkds.cpp,BUONO,RASTER,"90",256,240,VERTICAL,angelkds.cpp
cadanglr,"Angler Dangler (DECO Cassette) (US)","1982","Data East Corporation",decocass,-,-,YES,NO,NO,NO,NO,decocass.cpp,BUONO,RASTER,"270",256,240,VERTICAL,decocass.cpp
aking,"Angler King (Japan, AG1 Ver. A)","1998",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos23.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"namcos23.cpp"
anmlbskt,"Animal Basket (24 Jan 2005)","2005","MOSS / Sammy",awbios,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"270",640,480,VERTICAL,naomi.cpp
animalc,"Animal Catch","2000",Sammy,sammymdl,-,-,YES,NO,NO,NO,NO,"sigmab98.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"sigmab98.cpp"
animechmp,"Anime Champ (GCA07 VER. JAA)","2000",Konami,"sys573",-,-,YES,NO,NO,NO,NO,"ksys573.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"ksys573.cpp"
anteater,Anteater,"1982","Tago Electronics",-,-,-,YES,NO,NO,NO,NO,galaxian.cpp,BUONO,RASTER,"90",768,224,VERTICAL,galaxian.cpp
antiairc,"Anti-Aircraft [TTL]","1975",Atari,-,-,-,YES,NO,NO,NO,NO,atarittl.cpp,PRELIMINARE,RASTER,"0",455,262,HORIZONTAL,atarittl.cpp
"apache3","Apache 3 (rev F)","1988",Tatsumi,-,-,-,YES,NO,NO,NO,NO,tatsumi.cpp,PRELIMINARE,RASTER,"0",320,240,HORIZONTAL,tatsumi.cpp
apb,"APB - All Points Bulletin (rev 7)","1987","Atari Games",-,-,-,YES,NO,NO,NO,NO,"atarisy2.cpp",BUONO,RASTER,"270",512,384,VERTICAL,"atarisy2.cpp"
appoooh,Appoooh,"1984","Sanritsu / Sega",-,-,-,YES,NO,NO,NO,NO,appoooh.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,appoooh.cpp
aquajack,"Aqua Jack (World)","1990","Taito Corporation Japan",-,-,-,YES,NO,NO,NO,NO,taito_z.cpp,INCOMPLETO,RASTER,"0",320,240,HORIZONTAL,taito_z.cpp
aquajet,"Aqua Jet (Rev. AJ2 Ver.B, World)","1996",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos22.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos22.cpp"
aquarush,"Aqua Rush (Japan, AQ1/VER.A1)","1999",Namco,-,-,-,YES,NO,NO,NO,NO,"namcos12.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"namcos12.cpp"
aquastge,"Aqua Stage","1995",Sega,-,-,-,YES,NO,NO,NO,NO,coolridr.cpp,PRELIMINARE,RASTER,"0",496,384,HORIZONTAL,coolridr.cpp
aquarium,"Aquarium (US)","1996","Excellent System",-,-,-,YES,NO,NO,NO,NO,aquarium.cpp,BUONO,RASTER,"0",320,256,HORIZONTAL,aquarium.cpp
arabian,Arabian,"1983","Sun Electronics",-,-,-,YES,NO,NO,NO,NO,arabian.cpp,BUONO,RASTER,"270",256,234,VERTICAL,arabian.cpp
arabfgt,"Arabian Fight (World)","1991",Sega,-,-,-,YES,NO,NO,NO,NO,"segas32.cpp",INCOMPLETO,RASTER,"0",416,224,HORIZONTAL,"segas32.cpp"
arabianm,"Arabian Magic (Ver 1.0O 1992/07/06)","1992","Taito Corporation Japan",-,-,-,YES,NO,NO,NO,NO,"taito_f3.cpp",INCOMPLETO,RASTER,"0",320,224,HORIZONTAL,"taito_f3.cpp"
arbalest,Arbalester,"1989",Seta,-,-,-,YES,NO,NO,NO,NO,seta.cpp,BUONO,RASTER,"270",384,224,VERTICAL,seta.cpp
arcadecl,"Arcade Classics (prototype)","1992","Atari Games",-,-,-,YES,NO,NO,NO,NO,arcadecl.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,arcadecl.cpp
arcadian,"Arcadia (NMK)","1994",NMK,-,-,-,YES,NO,NO,NO,NO,"nmk16.cpp",BUONO,RASTER,"270",384,224,VERTICAL,"nmk16.cpp"
acheart,"Arcana Heart","2005",Examu,-,-,-,YES,NO,NO,NO,NO,"nexus3d.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"nexus3d.cpp"
acheartf,"Arcana Heart Full","2006",Examu,-,-,-,YES,NO,NO,NO,NO,"nexus3d.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"nexus3d.cpp"
