ID	Engine	Name
hires4	adl	Hi-Res Adventure #4: Ulysses and the Golden Fleece
hires5	adl	Hi-Res Adventure #5: Time Zone
hires6	adl	Hi-Res Adventure #6: The Dark Crystal
hopkins	hopkins	Hopkins FBI
hoyle1	sci	Hoyle Official Book Of Games Volume 1
hoyle2	sci	Hoyle Official Book Of Games Volume 2
hoyle3	sci	Hoyle Official Book Of Games Volume 3
hoyle4	sci	Hoyle Classic Card Games
hoyle5	sci	Hoyle Official Book Of Games Volume 5
hoyle5bridge	sci	Hoyle Bridge
hoyle5children	sci	Hoyle Children's Collection
hoyle5solitaire	sci	Hoyle Solitaire
hugo1	hugo	Hugo 1: Hugo's House of Horrors / Hugo's House of Horrors
hugo2	hugo	Hugo 2: Whodunit?
hugo3	hugo	Hugo 3: Jungle of Doom
iceman	sci	Codename: Iceman
ihnm	saga	I Have No Mouth, and I Must Scream
indy3	scumm	Indiana Jones and the Last Crusade
indyloom	scumm	Indiana Jones and the Last Crusade & Loom
indyzak	scumm	Indiana Jones and the Last Crusade & Zak McKracken
inndemo	sci	ImagiNation Network
islandbrain	sci	The Island of Dr. Brain
ite	saga	Inherit the Earth: Quest for the Orb
jones	sci	Jones in the Fast Lane
jungle	scumm	Let's Explore the Jungle with Buzzy
kyra1	kyra	The Legend of Kyrandia 1 / The Legend of Kyrandia Book One
kyra2	kyra	The Legend of Kyrandia 2: The Hand of Fate / The Legend of Kyrandia Book Two: Hand of Fate
kyra3	kyra	The Legend of Kyrandia 3: Malcolm's Revenge / The Legend of Kyrandia Book Three: Malcolm's Revenge
kq1	agi	King's Quest 1: Quest for the Crown
kq1sci	sci	King's Quest 1: Quest for the Crown [Remake]
kq2	agi	King's Quest 2: Romancing the Throne
kq3	agi	King's Quest 3: To Heir is Human
kq4	agi	King's Quest 4: The Perils of Rosella
kq5	sci	King's Quest 5: Absence Makes the Heart go Yonder
kq6	sci	King's Quest 6: Heir Today, Gone Tomorrow
kq7	sci	King's Quest 7: The Princeless Bride
kquestions	sci	King's Questions
lab	lab	Labyrinth of Time
laurabow	sci	Laura Bow 1: The Colonels Bequest / Laura Bow: The Colonels Bequest
laurabow2	sci	Laura Bow 2: The Dagger of Amon-Ra / Laura Bow: The Dagger of Amon Ra
liam	composer	Magic Tales: Liam Finds a Story
lighthouse	sci	Lighthouse
lilmonster	mohawk	Living Books: Little Monster at School
littlered	gob	Once Upon A Time: Little Red Riding Hood
lgop	glk	Leather Goddesses of Phobos
lgop2	made	Leather Goddesses of Phobos 2
longbow	sci	Conquests of the Longbow
lol	kyra	Lands of Lore: The Throne of Chaos
loom	scumm	Loom
lost	scumm	Pajama Sam's Lost & Found
lsl1	agi	Leisure Suit Larry 1: In the Land of the Lounge Lizards / Leisure Suit Larry in the Land of the Lounge Lizards
lsl1sci	sci	Leisure Suit Larry 1: In the Land of the Lounge Lizards [Remake] / Leisure Suit Larry in the Land of the Lounge Lizards [Remake]
lsl2	sci	Leisure Suit Larry 2: Goes looking for Love (In Several Wrong Places) (Keep Brackets)
lsl3	sci	Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals
lsl5	sci	Leisure Suit Larry 5: Passionate Patty Does a Little Undercover Work
lsl6	sci	Leisure Suit Larry 6: Shape Up or Slip Out
lsl7	sci	Leisure Suit Larry 7: Love for Sail
lure	lure	Lure of the Temptress
manhole	director	The Manhole
manhole	director	The Manhole Enhanced
maniac	scumm	Maniac Mansion
maze	scumm	Freddi Fish and Luther's Maze Madness
mh1	agi	Manhunter 1: New York
mh2	agi	Manhunter 2: San Francisco
mickey	agi	Mickey's Space Adventure
missinggrandpa	zcode	Lost in Time
mixedup	agi	Mixed Up Mother Goose
monkey	scumm	Monkey Island 1: The Secret of Monkey Island / The Secret of Monkey Island
monkey2	scumm	Monkey Island 2: LeChuck's Revenge
monkey3	scumm	Monkey Island 3: The Curse of Monkey Island
monkey4	grim	Monkey Island 4: Escape from Monkey Island
moonbase	scumm	Moonbase Commander
mortevielle	mortevielle	Mortville Manor
mothergoose	sci	Mixed-Up Mother Goose EGA
mothergoose256	sci	Mixed-Up Mother Goose VGA
mothergoosehires	sci	Mixed-Up Mother Goose Deluxe
msastrochicken	sci	Ms. Astro Chicken
mustard	scumm	SPY Fox in Hold the Mustard
myst	mohawk	Myst / Myst: Masterpiece
myst3   myst3   Myst 3: Exile
nebular	mads	Rex Nebular and the Cosmic Gender Bender
neverhood	neverhood	The Neverhood
newkid	mohawk	Living Books: The New Kid on the Block
nippon	parallaction	Nippon Safes Inc
openquest	wintermute	Open Quest
pajama	scumm	Pajama Sam 1: No Need to Hide When It's Dark Outside
pajama2	scumm	Pajama Sam 2: Thunder and Lightning Aren't so Frightening
pajama3	scumm	Pajama Sam 3: You Are What You Eat From Your Head to Your Feet
pass	scumm	Passport to Adventure
pegasus	pegasus	The Journeyman Project: Pegasus Prime
pepper	sci	Peppers Adventures In Time
phantasmagoria	sci	Phantasmagoria
phantasmagoria2	sci	Phantasmagoria 2: A Puzzle of Flesh
pjgames	scumm	Pajama Sam: Games to Play on Any Day
playtoons1	gob	Playtoons 1
playtoons2	gob	Playtoons 2
playtoons3	gob	Playtoons 3
playtoons4	gob	Playtoons 4
playtoons5	gob	Playtoons 5
plumbers	plumbers	Plumbers Don't Wear Ties
pn	agos	Personal Nightmare
pq1	agi	Police Quest 1: In Pursuite of the Death Angel
pq1sci	sci	Police Quest 1: In Pursuite of the Death Angel [Remake]
pq2	sci	Police Quest 2: The Vengeance
pq3	sci	Police Quest 3: The Kindred
pq4	sci	Police Quest 4: Open Season
pqswat	sci	Police Quest: SWAT
princess	composer	Magic Tales: The Princess and the Crab
puttcircus	scumm	Putt-Putt Joins the Circus
puttmoon	scumm	Putt-Putt Goes to the Moon
puttputt	scumm	Putt-Putt Joins the Parade
puttrace	scumm	Putt-Putt Enters the Race
puttsfunshop	scumm	Putt-Putt's One-Stop Fun Shop
putttime	scumm	Putt-Putt Travels Through Time
puttzoo	scumm	Putt-Putt Saves the Zoo
qfg1	sci	Quest for Glory 1: So You Want To Be A Hero / Hero Quest So You Want To Be A Hero
qfg1vga	sci	Quest for Glory 1: So You Want To Be A Hero [Remake] / Hero Quest So You Want To Be A Hero [Remake]
qfg2	sci	Quest for Glory 2: Trial by Fire 
qfg3	sci	Quest for Glory 3: The Wages of War
qfg4	sci	Quest for Glory 4: Shadows of Darkness
queen	queen	Flight of the Amazon Queen
rama	sci	RAMA
readtime	scumm	Blue's Reading Time Activities
realm	sci	The Realm
ringworld	tsage	Ringworld 1: Revenge of the Patriarch / Ringworld: Revenge of the Patriarch
ringworld2	tsage	Ringworld 2: Return to Ringworld / Return to Ringworld
riven	mohawk	Myst 2: Riven / Riven: The Sequel to Myst
rodneyfs	director	Rodney's Funscreen
rodneyfs2	director	Rodney's Funscreen 2 Extreme: Dinky's Revenge
rosetattoo	sherlock	The Lost Files of Sherlock Holmes: Case of the Rose Tattoo
rtz	made	Return to Zork
ruff	mohawk	Living Books: Ruff's Bone
samnmax	scumm	Sam & Max Hit the Road
samsfunshop	scumm	Pajama Sam's One-Stop Fun Shop
scalpel	sherlock	The Lost Files of Sherlock Holmes: The Case of the Serrated Scalpel
seussabc	mohawk	Living Books: Dr. Seuss ABC
sfinx	cge2	Sfinx v1.1
sheila	mohawk	Living Books: Sheila Rae, the Brave
shivers	sci	Shivers 1 / Shivers
shivers2	sci	Shivers 2: Harvest of SOules
simon1	agos	Simon the Sorcerer 1 / Simon the Sorcerer
simon2	agos	Simon the Sorcerer 2: The Lion, the Wizard and the Wardrobe
sky	sky	Beneath a Steel Sky
slater	sci	Slater & Charlie Go Camping
sleepingcub	composer	Magic Tales: Sleeping Cub's Test of Courage
soccer	scumm	Backyard Soccer
soccer2004	scumm	Backyard Soccer 2004
soccermls	scumm	Backyard Soccer MLS Edition
socks	scumm	Pajama Sam's Sock Works
soltys	cge	Soltys
spyfox	scumm	SPY Fox 1: Dry Cereal
spyfox2	scumm	SPY Fox 2: Some Assembly Required
spyozon	scumm	SPY Fox 3: Operation Ozone
sq1	agi	Space Quest 1: The Sarien Encounter
sq1sci	sci	Space Quest 1: The Sarien Encounter [Remake]
sq2	agi	Space Quest 2: Vohaul's Revenge
sq3	sci	Space Quest 3: The Pirates of Pestulon
sq4	sci	Space Quest 4: Roger Wilco and the Time Rippers
sq5	sci	Space Quest 5: The Next Mutation
sq6	sci	Space Quest 6: The Spinal Frontier
stellaluna	mohawk	Living Books: Stellaluna
sword1	sword1	Broken Sword 1: The Shadow of the Templar
sword2	sword2	Broken Sword 2: The Smoking Mirror
sword25	sword25	Broken Sword 2.5: The Return of the Templars
t7g	groovie	The 7th Guest
teenagent	teenagent	Teen Agent
tentacle	scumm	Day of the Tentacle
thinker1	scumm	Big Thinkers 1st Grade
thinkerk	scumm	Big Thinkers Kindergarten
titanic	titanic	Starship Titanic
tlj	stark	The Longest Journey
toltecs	toltecs	3 Skulls of the Toltecs
toon	toon	Toonstruck
tony	tony	Tony Tough and the Night of Roasted Moths / Tony Tough and the Night of the Roasted Moths
torin	sci	Torin's Passage
tortoise	mohawk	Living Books: Aesop's Fables: The Tortoise and the Hare
troll	agi	Troll's Tale
touche	agi	Touche: The Adventures of the Fifth Musketeer
tucker	tucker	Bud Tucker in Double Trouble
urban	gob	Urban Runner
versailles	versailles	Versailles 1685
voyeur	voyeur	Voyeur
water	scumm	Freddi Fish and Luther's Water Worries
waxworks	agos	Waxworks
ween	gob	Ween: The Prophecy
winnie	agi	Winnie the Pooh in the Hundred Acre Wood
woodruff	woodruff	The Bizarre Adventures of Woodruff and the Schnibble of Azimuth
xmascard	agi	Xmas Card 1986
zak	scumm	Zak McKracken and the Alien Mindbenders
zakloom	scumm	Zak McKracken & Loom
zgi	director	Zork: Grand Inquisitor
znemesis	director	Zork Nemesis

